Date,Open,High,Low,Close,Volume
5/4/2020,16.41,16.41,15.66,15.88,404050
5/5/2020,15.88,15.88,15.57,15.88,199960
5/6/2020,15.88,16.059,15.71,15.88,371930
5/7/2020,16.11,16.32,15.84,16.149,424580
5/8/2020,16.11,16.37,16.01,16.059,413560
5/11/2020,16.77,16.85,15.92,16.77,733410
5/12/2020,16.89,17.12,16.63,17.03,549130
5/13/2020,17.03,17.39,16.68,17.2,676310
5/14/2020,16.89,17.43,16.77,17.25,575970
5/15/2020,17.34,17.34,16.77,17.16,540940
5/18/2020,17.16,17.16,16.89,17.03,211940
5/19/2020,17.12,17.29,17.08,17.25,460510
5/20/2020,17.25,17.25,17.03,17.2,256160
5/21/2020,17.2,17.29,17.08,17.12,238910
5/22/2020,17.2,17.2,16.99,17.03,308830
5/25/2020,16.89,17.16,16.89,17.12,240930
5/26/2020,17.29,17.87,17.29,17.78,580970
5/27/2020,18.09,18.09,17.29,17.29,384870
5/28/2020,17.39,17.56,17.12,17.29,196260
5/29/2020,17.39,17.43,17.12,17.29,330870
6/1/2020,17.51,17.51,17.25,17.39,320680
6/2/2020,17.56,17.56,16.94,16.94,471480
6/3/2020,16.94,17.56,16.89,17.39,595720
6/4/2020,17.47,17.51,17.29,17.51,406150
6/5/2020,17.51,18.4,17.29,18.4,802660
6/8/2020,18.44,18.75,18.09,18.62,995290
6/9/2020,18.53,18.79,18.27,18.31,289650
6/10/2020,18.09,18.44,18,18.44,444990
6/11/2020,18.44,18.53,17.16,17.16,738480
6/12/2020,16.32,17.47,16.32,17.47,593750
6/15/2020,17.87,17.87,16.77,16.77,214760
6/16/2020,16.94,17.29,16.85,17.25,180310
6/17/2020,17.25,17.39,16.89,17.12,93350
6/18/2020,16.94,17.16,16.85,17.12,181850
6/19/2020,17.03,17.34,17.03,17.34,229200
6/22/2020,17.34,17.47,17.29,17.47,377800
6/23/2020,17.6,18.09,17.47,17.65,455710
6/24/2020,17.82,17.91,17.29,17.65,226780
6/25/2020,17.16,17.56,17.08,17.43,123090
6/26/2020,17.43,17.56,17.12,17.29,198940
6/29/2020,17.12,17.12,16.37,16.77,385800
6/30/2020,16.77,16.85,16.37,16.41,264890
7/1/2020,16.41,16.77,16.41,16.68,110530
7/2/2020,16.68,16.77,16.59,16.68,42850
7/3/2020,16.68,16.77,16.63,16.68,94940
7/6/2020,16.77,16.94,16.77,16.89,142180
7/7/2020,16.94,17.03,16.85,16.89,161710
7/8/2020,16.89,16.94,16.77,16.85,77840
7/9/2020,16.81,17.12,16.77,17.03,284050
7/10/2020,17.03,17.03,16.85,16.94,107920
7/13/2020,17.16,17.16,16.94,17.03,190260
7/14/2020,17.03,17.08,16.94,17.03,86810
7/15/2020,17.03,17.56,17.03,17.43,430110
7/16/2020,17.56,17.6,17.29,17.34,162340
7/17/2020,17.34,17.43,17.2,17.29,104600
7/20/2020,17.25,17.29,17.03,17.25,259790
7/21/2020,17.29,17.34,17.16,17.25,68740
7/22/2020,17.25,17.39,17.2,17.25,167170
7/23/2020,17.12,17.25,16.99,17.16,124260
7/24/2020,17.16,17.25,15.97,16.41,339740
7/27/2020,15.44,15.8,15.26,15.31,926780
7/28/2020,15.31,16.19,15.26,16.19,300540
7/29/2020,15.57,15.8,15.4,15.71,182240
7/30/2020,15.88,16.23,15.88,16.23,220450
7/31/2020,16.11,16.149,15.92,16.149,236540
8/3/2020,15.92,16.41,15.92,16.37,194730
8/4/2020,16.77,17.2,16.51,16.89,316610
8/5/2020,17.12,18,16.89,17.96,1149290
8/6/2020,17.96,18.53,17.78,18.05,580190
8/7/2020,17.87,18.09,17.82,17.87,218780
8/10/2020,17.65,18.09,17.65,17.69,526000
8/11/2020,17.78,18.44,17.65,18.31,624980
8/12/2020,18.4,18.71,18.31,18.4,673390
8/13/2020,18.4,18.66,18.22,18.53,726470
8/14/2020,18.44,18.66,17.91,18.27,566480
8/17/2020,18.09,18.62,17.96,18.62,706990
8/18/2020,18.79,19.72,18.79,19.33,1287980
8/19/2020,19.33,20.47,19.28,20.25,1187460
8/20/2020,19.85,20.12,19.72,19.99,613210
8/21/2020,19.9,20.69,19.81,20.25,871990
8/24/2020,20.3,20.56,20.03,20.3,679450
8/25/2020,20.65,21.09,20.3,20.3,1145650
8/26/2020,20.42,20.73,20.21,20.69,614910
8/27/2020,20.65,20.96,20.56,20.69,443220
8/28/2020,20.52,20.69,20.3,20.3,450980
8/31/2020,20.3,20.56,19.94,20.03,692920
9/1/2020,19.9,20.3,19.9,20.3,659800
9/3/2020,20.94,20.99,20.53,20.99,956750
9/4/2020,20.57,20.9,20.48,20.67,335850
9/7/2020,20.71,20.75,20.11,20.11,474570
9/8/2020,20.11,20.38,20.02,20.25,342930
9/9/2020,20.11,20.9,20.11,20.8,848620
9/10/2020,20.9,21.95,20.9,21.95,1545260
9/11/2020,21.67,21.87,21.59,21.77,347880
9/14/2020,21.87,21.87,21.59,21.63,440080
9/15/2020,21.67,22.09,21.59,21.67,787080
9/16/2020,21.63,21.77,21.49,21.59,430610
9/17/2020,21.77,21.82,21.49,21.67,578030
9/18/2020,21.67,22.42,21.67,22.19,1098050
9/21/2020,22.19,22.24,21.87,22,601860
9/22/2020,21.72,21.95,21.54,21.82,642380
9/23/2020,21.77,21.95,21.67,21.87,556570
9/24/2020,21.87,22.32,21.87,22.19,1051110
9/25/2020,22.19,22.27,21.82,21.95,415100
9/28/2020,22.19,22.19,21.91,21.95,443050
9/29/2020,21.91,22,21.67,21.67,803470
9/30/2020,21.59,22.14,21.59,22.09,494620
10/1/2020,22.14,22.51,22.14,22.24,559230
10/2/2020,22.27,22.32,21.77,22.32,858770
10/5/2020,22.37,23.34,22.32,23.06,1003420
10/6/2020,23.34,23.34,22.69,22.79,600240
10/7/2020,22.79,22.88,22.42,22.6,587430
10/8/2020,22.6,22.6,22.19,22.37,700500
10/9/2020,22.42,22.56,22.24,22.32,323030
10/12/2020,22.6,22.6,22.09,22.09,482380
10/13/2020,22.09,22.14,21.77,21.87,320640
10/14/2020,22.05,22.05,21.82,21.95,322390
10/15/2020,21.95,22.14,21.82,21.82,285370
10/16/2020,21.72,21.87,21.49,21.72,462700
10/19/2020,21.72,22.09,21.67,21.95,299140
10/20/2020,22.14,22.14,21.72,21.87,400630
10/21/2020,21.87,21.91,21.67,21.67,287660
10/22/2020,21.77,21.77,21.49,21.63,285370
10/23/2020,21.63,21.91,21.63,21.87,471190
10/26/2020,22.05,22.05,21.63,21.67,605400
10/27/2020,21.59,21.63,21.49,21.49,722530
10/28/2020,21.49,21.49,20.38,20.38,1184680
10/29/2020,19.93,20.67,19.83,20.67,833190
10/30/2020,20.8,21.63,20.71,21.63,878700
11/2/2020,21.49,21.49,21.12,21.27,253880
11/3/2020,21.27,21.45,21.12,21.35,266890
11/4/2020,21.31,21.91,21.27,21.82,442760
11/5/2020,21.82,21.95,21.59,21.59,315900
11/6/2020,21.59,21.77,21.4,21.67,162670
11/9/2020,21.67,23.06,21.67,22.97,2268270
11/10/2020,23.53,23.57,22.97,23.01,1386060
11/11/2020,23.06,23.43,23.06,23.29,1135700
11/12/2020,23.2,24.26,23.2,24.26,1715910
11/13/2020,24.45,24.45,24.03,24.26,1054130
11/16/2020,24.35,24.9,24.08,24.53,2080380
11/17/2020,24.72,25.83,24.35,25.32,2085150
11/18/2020,25.32,26.02,25.27,25.65,981120
11/19/2020,25.27,25.37,24.45,24.82,3067900
11/20/2020,24.72,24.9,24.21,24.82,1293880
11/23/2020,24.9,25.37,24.58,25.23,787780
11/24/2020,25.09,26.2,24.95,25.37,2692030
11/25/2020,25.83,25.83,24.9,24.9,1474320
11/26/2020,25.14,25.83,24.9,25.27,1041640
11/27/2020,25.47,26.02,25.23,25.83,1815370
11/30/2020,26.11,26.2,25.65,25.65,3297280
12/1/2020,25.47,26.29,25.23,26.29,4040970
12/2/2020,26.76,27.63,26.71,27.17,4912230
12/3/2020,27.31,27.68,26.76,27.21,4964610
12/4/2020,27.12,27.21,26.52,26.57,3953960
12/7/2020,26.57,27.08,26.57,26.89,5783650
12/8/2020,26.89,27.12,26.71,26.94,5156760
12/9/2020,26.89,26.94,26.66,26.79,4117910
12/10/2020,26.94,28.55,26.94,27.81,10777940
12/11/2020,28.23,28.68,28.18,28.68,10330800
12/14/2020,28.87,29.94,28.87,29.38,7734180
12/15/2020,29.06,30.91,29.06,30.62,7050050
12/16/2020,30.81,30.91,29.52,30.39,4699340
12/17/2020,29.89,30.39,29.25,29.25,5670710
12/18/2020,29.52,30.35,29.25,30.21,3494080
12/21/2020,30.44,32.2,30.44,31.55,5056940
12/22/2020,31.69,31.69,30.86,30.95,3673780
12/23/2020,30.99,30.99,28.83,29.7,4694690
12/24/2020,29.33,29.7,27.63,28.87,6889010
12/25/2020,28.87,29.98,28.87,29.65,3886280
12/28/2020,29.98,30.21,29.06,29.52,3296720
12/29/2020,29.29,30.76,28.97,30.17,4724320
12/30/2020,29.98,30.39,29.57,29.7,2177800
12/31/2020,29.98,30.17,29.29,30.07,2518000
1/4/2021,30.44,31.36,30.26,30.54,4226500
1/5/2021,30.54,31.78,30.21,31.18,4851900
1/6/2021,31.55,31.55,30.54,30.81,3641300
1/7/2021,31.09,31.83,29.98,31.36,5753700
1/8/2021,31.73,32.1,30.91,31.27,4587500
1/11/2021,31.64,31.69,30.99,31.46,4088600
1/12/2021,31.78,33.53,31.73,33.53,7879300
1/13/2021,34.13,34.41,32.8,33.12,5334400
1/14/2021,33.12,33.21,32.47,32.98,3097100
1/15/2021,33.03,33.62,32.75,32.98,3847900
1/18/2021,32.98,32.98,32.2,32.2,3669100
1/19/2021,31.83,32.1,29.98,29.98,5956600
1/20/2021,29.62,30.44,27.91,28.83,5114900
1/21/2021,29.25,30.44,28.68,30.17,2930000
1/22/2021,30.17,30.44,29.43,29.62,2511900
1/25/2021,29.52,31.36,29.1,29.98,4009100
1/26/2021,29.98,30.39,28.87,29.7,2603300
1/27/2021,29.43,30.17,28.13,28.55,2641400
1/28/2021,26.57,27.31,26.57,26.57,2662300
1/29/2021,24.72,27.49,24.72,27.49,4405300
2/1/2021,26.76,27.4,25.6,25.6,4364400
2/2/2021,24.9,25.65,23.85,25.55,3078300
2/3/2021,25.92,26.98,25.5,26.79,3536000
2/4/2021,26.76,28.09,26.29,28.04,4194600
2/5/2021,27.81,28.68,27.63,28.6,2379300
2/8/2021,28.6,28.6,26.61,27.26,2714400
2/9/2021,27.26,28.28,27.12,28.23,2053700
2/17/2021,29.15,30.17,28.28,30.17,3496400
2/18/2021,30.44,31.18,29.7,30.54,3318800
2/19/2021,29.98,31.18,29.94,30.91,3302700
2/22/2021,30.91,31.36,30.02,30.81,2069300
2/23/2021,30.62,30.81,29.98,30.44,1858900
2/24/2021,30.49,30.81,29.98,30.12,2287600
2/25/2021,30.44,30.86,29.89,30.44,2041000
2/26/2021,29.89,31.32,29.89,30.91,2507700
3/1/2021,31.36,31.83,31.18,31.69,3084500
3/2/2021,31.83,31.83,31.09,31.36,1940500
3/3/2021,31.51,31.51,30.91,30.99,2364900
3/4/2021,30.99,31.46,29.33,29.8,2564700
3/5/2021,29.62,30.17,28.6,30.17,2472100
3/8/2021,30.58,30.62,29.38,29.65,2298300
3/9/2021,29.43,29.47,28.68,29.25,2346400
3/10/2021,29.25,29.7,28.78,29.62,1148200
3/11/2021,29.62,30.17,29.52,29.7,1781000
3/12/2021,29.89,29.89,29.33,29.52,1763400
3/15/2021,29.52,30.07,29.33,29.47,1528800
3/16/2021,29.52,30.35,29.33,30.26,2630500
3/17/2021,30.26,30.86,30.26,30.76,2915000
3/18/2021,30.99,31.09,30.44,30.62,1467400
3/19/2021,30.44,30.62,30.12,30.39,1836100
3/22/2021,31.09,32.2,31.09,31.91,5846400
3/23/2021,31.91,32.009,30.81,31.55,2503700
3/24/2021,30.81,31.36,30.07,30.62,1845300
3/25/2021,30.62,30.81,29.89,30.44,2056300
3/26/2021,29.89,30.26,28.87,29.98,2443000
3/29/2021,30.35,30.44,30.07,30.44,998000
3/30/2021,30.44,31.64,30.26,31.23,4080500
3/31/2021,31.23,31.83,31.09,31.23,2916600
4/1/2021,31.23,32.06,30.99,31.96,3630100
4/2/2021,32.56,32.56,31.73,32.1,2308700
4/5/2021,32.1,32.2,31.41,31.78,2362000
4/6/2021,31.36,31.78,31.32,31.73,2608200
4/7/2021,31.55,33.4,31.55,33.07,5418300
4/8/2021,33.17,33.21,32.38,32.56,2073800
4/9/2021,32.28,33.58,32.1,32.93,2762900
4/12/2021,33.03,33.12,32.52,32.93,2607300
4/13/2021,33.12,33.21,32.1,32.2,2997600
4/14/2021,31.55,32.1,31.46,31.91,1693600
4/15/2021,31.91,33.21,30.99,31.59,2739000
4/16/2021,31.46,31.96,30.17,30.91,2765600
4/19/2021,30.72,31.27,30.44,31.18,1425700
4/20/2021,31.18,31.55,30.44,30.72,1863500
4/22/2021,30.44,30.91,29.52,29.52,2481300
4/23/2021,29.52,31.04,29.25,30.91,2337100
4/26/2021,31.36,31.36,30.35,30.44,1204100
4/27/2021,30.26,31.18,30.17,30.76,1499100
4/28/2021,30.67,31.14,30.67,31.09,1865500
4/29/2021,31.09,31.55,31.09,31.55,2485800
5/4/2021,30.81,31.32,30.72,31.27,1503600
5/5/2021,31.36,32.85,31.27,32.38,3516500
5/6/2021,32.47,32.47,31.78,31.96,1994100
5/7/2021,31.96,32.2,31.36,31.46,1644700
5/10/2021,31.36,32.88,31.09,32.88,4539900
5/11/2021,33.21,34.82,32.93,33.77,6475800
5/12/2021,33.44,34.74,33.44,34.74,3040300
5/13/2021,34.36,34.59,33.58,33.58,3220800
5/14/2021,34.13,34.13,32.93,32.93,3508400
5/17/2021,33.17,34.69,33.03,34.59,4562300
5/18/2021,34.59,35.47,34.41,34.87,3736200
5/19/2021,34.69,35.06,34.36,34.96,1897800
5/20/2021,35.06,35.93,35.06,35.79,3613100
5/21/2021,35.79,36.63,34.59,35.01,3738300
5/24/2021,35.06,35.98,34.59,35.66,2736600
5/25/2021,35.66,36.44,35.66,35.93,2834700
5/26/2021,35.51,35.79,35.06,35.1,2582600
5/27/2021,35.06,35.33,33.9,34.04,3619200
5/28/2021,35.06,35.06,33.95,34.77,2601100
5/31/2021,34.87,34.96,33.95,34.17,2129400
6/1/2021,34.22,35.06,34.22,34.59,1790800
6/2/2021,34.59,35.98,34.5,35.93,3894100
6/3/2021,36.39,37.64,36.26,37.18,3324200
6/4/2021,37,37.18,36.16,37.13,3406200
6/7/2021,37.77,37.77,35.06,36.9,3750600
6/8/2021,36.48,37.36,35.51,35.61,2818100
6/9/2021,35.61,36.44,35.06,35.98,1977900
6/10/2021,35.79,37.36,35.61,37.08,3021400
6/11/2021,37.36,38.61,37.36,38.1,3080900
6/14/2021,39.11,40.13,38.29,38.89,3614600
6/15/2021,38.89,39.48,38.29,38.89,2227500
6/16/2021,39.21,40.04,38.89,38.93,3034400
6/17/2021,38.74,40.91,38.29,40.59,4641000
6/18/2021,40.31,40.86,40.26,40.5,2057200
6/21/2021,39.86,40.59,39.66,39.71,2336900
6/22/2021,39.76,40.86,39.76,40.18,3038700
6/23/2021,40.59,40.59,38.89,39.53,2561000
6/24/2021,39.62,39.86,39.11,39.11,1677200
6/25/2021,39.11,39.62,39.02,39.34,1430100
6/28/2021,39.86,40.59,39.21,40.59,2170800
6/29/2021,40.59,40.59,39.58,39.66,1337800
6/30/2021,39.66,40.13,39.58,39.66,1475200
7/1/2021,40.13,41.33,39.48,41.23,5087700
7/2/2021,41.51,41.51,41.05,41.1,1950700
7/5/2021,41.51,41.97,40.63,41.05,3670300
7/6/2021,41.6,41.6,38.19,38.19,2178300
7/7/2021,38.56,38.74,36.44,38.65,3613500
7/8/2021,38.74,39.53,38.29,38.61,2557500
7/9/2021,38.19,38.65,36.44,36.9,3335500
7/12/2021,36.71,36.81,34.59,35.79,4660500
